Date, Close/Last, Volume, Open, High, Low
12/31/2019, $191.17, 1311603, $190.3, $191.32, $190.07
12/30/2019, $190.57, 890086, $191.15, $191.77, $190.34
12/27/2019, $191.4, 1286322, $192.18, $192.18, $190.94
12/26/2019, $191.58, 1188058, $191.65, $192.27, $191.28
12/24/2019, $191.42, 550487, $191.53, $191.76, $191
12/23/2019, $191.53, 3241933, $190.49, $191.72, $190.46
12/20/2019, $190.3, 2990483, $190.8, $192.26, $190.3
12/19/2019, $189.61, 3368444, $190.21, $190.53, $189.57
12/18/2019, $190.34, 2774324, $190.5, $190.93, $189.87
12/17/2019, $190.63, 2301254, $190.2, $190.9, $189.9
12/16/2019, $190.12, 1725275, $189.71, $190.36, $189.01
12/13/2019, $188.34, 2992787, $188.3, $190.41, $187.95
12/12/2019, $188.27, 1408215, $186.85, $188.37, $186.635
12/11/2019, $186.64, 1689450, $185.92, $186.87, $185.69
12/10/2019, $185.61, 1485891, $185.4, $186.18, $185.21
12/09/2019, $185.27, 2638321, $186.12, $186.88, $185.22
12/06/2019, $186.37, 1463459, $186.4, $186.91, $186.23
12/05/2019, $186.08, 1272953, $186.59, $186.9, $185.95
12/04/2019, $186.66, 1422524, $185.05, $186.8439, $185.05
12/03/2019, $185.09, 2838304, $184.75, $185.7, $184.0467
12/02/2019, $184.34, 2637538, $185.1, $185.78, $184.28
11/29/2019, $184.94, 610276, $185.41, $185.41, $184.56
11/27/2019, $185.38, 1105805, $184.84, $185.77, $184.74
11/26/2019, $184.92, 2489229, $185.27, $185.82, $184.28
11/25/2019, $185, 1571036, $184.3, $185.36, $184.02
11/22/2019, $183.79, 1740976, $184.53, $185, $183.4
11/21/2019, $184.54, 1825405, $184.6, $184.83, $183.4
11/20/2019, $184.96, 2464205, $185.2, $185.2, $183.768
11/19/2019, $185.22, 2220389, $184.54, $186.08, $184.48
11/18/2019, $184.5, 2890836, $183.45, $184.92, $183.22
11/15/2019, $183.61, 3212120, $182.73, $183.77, $182.39
11/14/2019, $182.47, 2454115, $181.12, $182.5, $180.76
11/13/2019, $181.6, 2939824, $181.79, $182.66, $181.14
11/12/2019, $181.96, 2414529, $181.01, $183.79, $180.7
11/11/2019, $181.58, 1755763, $180.46, $181.62, $180.0301
11/08/2019, $181.28, 2345935, $178.75, $181.45, $178.53
11/07/2019, $178.68, 2292396, $178.78, $179.35, $177.95
11/06/2019, $178.55, 3570816, $178.61, $178.97, $177.01
11/05/2019, $178.41, 2954168, $179.5, $179.88, $177.63
11/04/2019, $178.8, 3493159, $178.8, $179.74, $178.8
11/01/2019, $178.29, 3168670, $177, $179.52, $175.91
10/31/2019, $176.11, 1170908, $175.66, $176.33, $175.46
10/30/2019, $175.79, 1206415, $174.91, $176, $174.43
