Date, Close/Last, Volume, Open, High, Low
12/31/2019, $242.16, 1727493, $241.57, $242.59, $239.92
12/30/2019, $241.29, 1112550, $241.69, $242.22, $240.29
12/27/2019, $242.51, 1079865, $242.28, $242.77, $241.53
12/26/2019, $241.96, 1453313, $240.25, $241.96, $240.08
12/24/2019, $240.51, 684879, $238.91, $240.51, $237.84
12/23/2019, $238.78, 2371962, $242.78, $242.96, $238.34
12/20/2019, $242.71, 4049463, $244.08, $245.01, $240.21
12/19/2019, $240.65, 1720721, $240.15, $241.02, $239.43
12/18/2019, $240.29, 2146361, $240.73, $241, $238.74
12/17/2019, $239.82, 2593541, $239.46, $240.9, $238.82
12/16/2019, $239.47, 3571233, $237.24, $239.5, $236.4
12/13/2019, $236.95, 2086267, $233.08, $237.38, $232.773
12/12/2019, $233.9, 1742566, $235.52, $236.19, $232.77
12/11/2019, $235.78, 1553208, $235, $235.86, $233.94
12/10/2019, $234.45, 1086410, $234.36, $234.9499, $233.81
12/09/2019, $234.27, 1154598, $234.94, $234.97, $233.84
12/06/2019, $234.39, 1549016, $234.41, $235.43, $233.51
12/05/2019, $234.56, 1546082, $233.12, $234.79, $233.03
12/04/2019, $234.26, 1674771, $231.65, $234.47, $231.5
12/03/2019, $232.23, 2400251, $232, $232.82, $231.39
12/02/2019, $231.25, 1779631, $233.71, $233.71, $231.07
11/29/2019, $233.82, 889447, $234.61, $235.725, $233.232
11/27/2019, $233.07, 2146019, $233.33, $233.785, $232.56
11/26/2019, $234.92, 3908704, $233.17, $235.24, $233
11/25/2019, $232.56, 1864056, $233.87, $234.5557, $231.76
11/22/2019, $233.38, 1254030, $235.42, $236.17, $231.72
11/21/2019, $235.14, 1247508, $235.73, $236.27, $234.11
11/20/2019, $235.22, 2126540, $233.34, $236.76, $232.72
11/19/2019, $232.66, 1630618, $232.09, $234.3377, $231.13
11/18/2019, $232.16, 1752888, $231.98, $234.44, $231.75
11/15/2019, $231.42, 1845622, $230.42, $231.54, $228.35
11/14/2019, $229.87, 1586643, $228, $230.12, $227.61
11/13/2019, $227.91, 1804013, $224.9, $228.18, $224.9
11/12/2019, $223.22, 1449603, $222.19, $224, $222.0924
11/11/2019, $222.22, 1535738, $222.36, $223.48, $221.71
11/08/2019, $222.08, 1607921, $223.1, $224.69, $221.04
11/07/2019, $223.09, 3118340, $226.62, $226.64, $220.66
11/06/2019, $227.49, 1744093, $227.5, $228.5, $226.6
11/05/2019, $227.11, 2375555, $227.41, $229.3, $224.71
11/04/2019, $229.6, 3364916, $235.23, $235.23, $228.19
11/01/2019, $235.71, 2004491, $238.69, $238.89, $235.09
10/31/2019, $238.34, 2057136, $235.52, $238.5, $234.9198
10/30/2019, $235.46, 1239757, $233.33, $236.63, $233.01
10/29/2019, $232.6, 1715334, $232.27, $233.17, $231.2
10/28/2019, $233.23, 1791055, $236.5, $236.71, $232.64
10/25/2019, $236.88, 1518098, $237.62, $237.65, $235.57
10/24/2019, $237.55, 1629545, $236, $237.67, $234.82
10/23/2019, $236, 2237644, $237.55, $238.6, $235.71
10/22/2019, $236.24, 3244630, $233.79, $239.89, $233.01
10/21/2019, $232.8, 1738770, $232.41, $233.04, $230.65
10/18/2019, $232.48, 2196073, $231.19, $232.78, $230.31
10/17/2019, $231.09, 1391869, $229.27, $231.59, $229.27
10/16/2019, $229.91, 1924730, $227.67, $230.34, $226.58
