Date, Close/Last, Volume, Open, High, Low
12/31/2019, $39.18, 14398890, $38.79, $39.2, $38.71
12/30/2019, $38.91, 10963330, $39.3, $39.42, $38.89
12/27/2019, $39.32, 9599858, $39.43, $39.62, $39.25
12/26/2019, $39.38, 8905914, $39.3, $39.57, $39.2
12/24/2019, $39.29, 4921941, $39.33, $39.44, $39.2
12/23/2019, $39.32, 16560690, $39.42, $39.515, $39.13
12/20/2019, $39.23, 55218400, $39.35, $39.54, $38.97
12/19/2019, $38.97, 22294740, $39, $39.15, $38.81
12/18/2019, $38.89, 25940190, $39.01, $39.075, $38.64
12/17/2019, $38.9, 27551730, $39.44, $39.44, $38.84
12/16/2019, $39.14, 22961940, $38.7, $39.4, $38.66
12/13/2019, $38.33, 15824100, $38.52, $38.68, $38.071
12/12/2019, $38.54, 12727850, $38.17, $38.62, $38.17
12/11/2019, $38.22, 14771740, $38.37, $38.57, $38.2
12/10/2019, $38.48, 18189080, $38.27, $38.58, $38.185
12/09/2019, $38.32, 14971280, $38.1, $38.38, $38.1
12/06/2019, $38.29, 12213370, $38.28, $38.52, $38.215
12/05/2019, $38.03, 12427320, $38.37, $38.37, $37.79
12/04/2019, $38.14, 13759220, $38.23, $38.26, $37.89
12/03/2019, $38.05, 19840010, $37.96, $38.2, $37.84
12/02/2019, $38.29, 14847390, $38.79, $38.8, $38.25
11/29/2019, $38.52, 9292076, $38.54, $38.88, $38.51
11/27/2019, $38.63, 18217970, $38.38, $38.71, $38.33
11/26/2019, $38.29, 32848100, $38.54, $38.59, $38.05
11/25/2019, $38.68, 29975890, $38.48, $38.88, $38.45
11/22/2019, $38.33, 24235310, $37.79, $38.41, $37.69
11/21/2019, $37.74, 19869700, $37.21, $37.94, $37.04
11/20/2019, $37.05, 18925730, $37.57, $37.69, $37.01
11/19/2019, $37.66, 25119180, $37.43, $37.68, $37.32
11/18/2019, $37.22, 17168330, $37.39, $37.44, $36.96
11/15/2019, $37.28, 34515590, $36.63, $37.47, $36.52
11/14/2019, $36.55, 23902490, $36.56, $36.76, $36.32
11/13/2019, $36.6, 24656690, $36.95, $36.95, $36.3
11/12/2019, $36.97, 12655830, $36.83, $37.09, $36.7
11/11/2019, $36.93, 11901530, $36.91, $37.005, $36.75
11/08/2019, $37.05, 25263680, $36.88, $37.16, $36.83
11/07/2019, $36.91, 21562920, $37.4, $37.575, $36.88
11/06/2019, $37.61, 17796690, $37.61, $37.73, $37.355
11/05/2019, $37.48, 20577300, $38.03, $38.1, $37.47
11/04/2019, $38.03, 16802450, $38.71, $38.74, $38.03
11/01/2019, $38.39, 18276270, $38.69, $38.94, $38.39
10/31/2019, $38.37, 23282650, $38.39, $38.58, $38.18
10/30/2019, $38.48, 20891280, $38.41, $38.82, $38.3
10/29/2019, $38.21, 30561660, $38, $38.76, $37.92
10/28/2019, $37.28, 24478530, $36.86, $37.48, $36.82
10/25/2019, $36.77, 16601240, $36.4, $36.88, $36.31
10/24/2019, $36.39, 19023140, $36.75, $36.84, $36.26
10/23/2019, $36.77, 13301360, $36.31, $36.78, $36.22
10/22/2019, $36.43, 13811980, $36.41, $36.7, $36.25
10/21/2019, $36.46, 12584650, $36.65, $36.68, $36.36
10/18/2019, $36.46, 13491210, $36.43, $36.7, $36.35
10/17/2019, $36.46, 14561580, $36.49, $36.81, $36.37
