Date, Close/Last, Volume, Open, High, Low
12/31/2019, $219.74, 824452, $220.55, $221.2, $218.9239
12/30/2019, $220.19, 680582, $221, $221.89, $219.93
12/27/2019, $220.96, 660898, $221.28, $222.06, $220.54
12/26/2019, $221.02, 926729, $219.47, $221.11, $219.38
12/24/2019, $219.35, 336404, $220.53, $220.66, $219.26
12/23/2019, $219.87, 1475303, $217.45, $221.26, $217.01
12/20/2019, $217.4, 2162346, $217.05, $217.78, $215.55
12/19/2019, $216.11, 1374838, $214.66, $216.37, $213.765
12/18/2019, $214.16, 2590111, $216.9, $218.56, $213.51
12/17/2019, $217.79, 1132273, $218.74, $219.65, $216.23
12/16/2019, $219.29, 942402, $218.6, $219.4386, $217.545
12/13/2019, $217.4, 936942, $217.59, $219.66, $216.55
12/12/2019, $218.19, 944076, $218.03, $218.89, $217.15
12/11/2019, $217.82, 763960, $216.42, $218.9472, $216.42
12/10/2019, $216.53, 927157, $216.59, $217.99, $216.35
12/09/2019, $216.53, 1084309, $216.48, $217.82, $216.34
12/06/2019, $217.21, 1023242, $216.98, $218.47, $216.15
12/05/2019, $214.89, 1246439, $215.85, $217.45, $214.54
12/04/2019, $214.86, 1263025, $214.5, $217.745, $214.02
12/03/2019, $213.77, 1808500, $212.12, $213.93, $211.3386
12/02/2019, $214.06, 1248847, $217.22, $218.3, $214.06
11/29/2019, $217.42, 581463, $218.3, $218.36, $216.71
11/27/2019, $218.54, 1224612, $217.12, $219.155, $215.63
11/26/2019, $217.11, 1981721, $216.5, $217.8351, $215.63
11/25/2019, $216.29, 1071708, $217.05, $218.48, $215.71
11/22/2019, $216.4, 1368209, $215.46, $216.59, $214.45
11/21/2019, $215.81, 1050366, $216.95, $217.06, $215.07
11/20/2019, $217.07, 929445, $218.18, $218.5683, $216.31
11/19/2019, $218.09, 1229398, $219.99, $220, $216.965
11/18/2019, $219.29, 780579, $218.88, $219.37, $217.52
11/15/2019, $218.88, 1239791, $217.93, $220.03, $217.62
11/14/2019, $216.7, 1032264, $216.05, $216.82, $214.72
11/13/2019, $215.37, 1263633, $215.5, $217.2804, $214.85
11/12/2019, $216.88, 875577, $215.7, $217.32, $214.23
11/11/2019, $216, 624291, $215.09, $217.2, $214.7815
11/08/2019, $215.84, 1158388, $214.78, $216.3, $211.54
11/07/2019, $215, 1065613, $216.19, $217.33, $214.78
11/06/2019, $215.33, 1358718, $213.09, $215.8, $212.55
11/05/2019, $213.09, 1992637, $214.08, $214.09, $211.51
11/04/2019, $214.34, 2312932, $216.44, $218, $212.16
11/01/2019, $216.09, 1736945, $213.27, $217.19, $213.27
10/31/2019, $212.21, 1269860, $213.72, $215.18, $211.94
10/30/2019, $214.32, 1068997, $211.37, $214.72, $210.24
10/29/2019, $211.65, 1526247, $210.93, $213.5, $210.82
10/28/2019, $211.61, 1968933, $212.11, $216.54, $211.17
10/25/2019, $212.15, 2039717, $212.5, $215.355, $209.5
10/24/2019, $211.21, 3301340, $205, $214.06, $203.6
10/23/2019, $203.55, 1189514, $203.84, $204.2799, $201.89
