Date, Close/Last, Volume, Open, High, Low
12/31/2019, $39.08, 20218350, $39.01, $39.11, $38.86
12/30/2019, $39.04, 17671580, $39.27, $39.28, $38.98
12/27/2019, $39.24, 15434020, $39.24, $39.36, $39.2
12/26/2019, $39.16, 19818850, $38.99, $39.2, $38.97
12/24/2019, $38.96, 8697213, $39.1, $39.12, $38.9
12/23/2019, $39.07, 29142240, $39.25, $39.432, $39.04
12/20/2019, $39.15, 48371160, $39.21, $39.26, $38.89
12/19/2019, $38.93, 26773190, $38.79, $38.93, $38.66
12/18/2019, $38.74, 28439740, $38.6, $38.93, $38.59
12/17/2019, $38.5, 34741140, $38.6, $38.7, $38.45
12/16/2019, $38.59, 24046920, $38.37, $38.65, $38.37
12/13/2019, $38.26, 24895940, $38.21, $38.28, $37.95
12/12/2019, $38.35, 23599000, $38.2, $38.57, $38.2
12/11/2019, $38.17, 18529000, $38.02, $38.25, $38
12/10/2019, $38.06, 21783880, $38.07, $38.27, $37.82
12/09/2019, $38.04, 20702330, $38.12, $38.43, $38.03
12/06/2019, $38.2, 22613840, $38.29, $38.58, $38.135
12/05/2019, $38.19, 21764570, $38.12, $38.36, $38.01
12/04/2019, $38.1, 38236930, $37.59, $38.36, $37.51
12/03/2019, $37.55, 24870030, $37.2, $37.55, $36.905
12/02/2019, $37.32, 24887610, $37.48, $37.48, $37.23
11/29/2019, $37.38, 18172510, $37.74, $37.96, $37.36
11/27/2019, $37.66, 17069490, $37.44, $37.82, $37.4
11/26/2019, $37.4, 54029540, $37.28, $37.44, $36.77
11/25/2019, $37.26, 32466120, $37.9, $37.9, $37.18
11/22/2019, $37.75, 19877070, $37.75, $37.93, $37.69
11/21/2019, $37.6, 31358460, $37.03, $37.7, $37.03
11/20/2019, $37.18, 69861440, $37.09, $37.61, $36.4
11/19/2019, $38, 64556820, $38.92, $38.97, $37.37
11/18/2019, $39.63, 25969680, $39.3, $39.7, $39.21
11/15/2019, $39.5, 31476780, $39.13, $39.51, $39.06
11/14/2019, $38.95, 27469010, $38.97, $39.08, $38.69
11/13/2019, $39.16, 16596950, $39.19, $39.31, $39.05
11/12/2019, $39.17, 16550110, $39.35, $39.48, $39.07
11/11/2019, $39.37, 13585580, $39.26, $39.38, $39.2
11/08/2019, $39.38, 18635140, $39.34, $39.425, $39.09
11/07/2019, $39.42, 25542400, $39.29, $39.58, $39.25
11/06/2019, $39.25, 21999340, $39.25, $39.28, $38.99
11/05/2019, $39.17, 29715470, $38.81, $39.31, $38.79
11/04/2019, $38.89, 35861680, $39.1, $39.5, $38.86
11/01/2019, $38.95, 35232730, $38.95, $39.02, $38.74
10/31/2019, $38.49, 39485030, $38.21, $38.49, $37.88
10/30/2019, $38.2, 34018830, $38.39, $38.8675, $38.11
10/29/2019, $38.06, 26710020, $38.49, $38.49, $37.98
10/28/2019, $38.49, 62238150, $38.3, $38.86, $37.97
10/25/2019, $36.91, 33280770, $36.94, $37.17, $36.72
10/24/2019, $36.82, 40910410, $37.69, $37.77, $36.54
10/23/2019, $37.74, 24362380, $38.01, $38.14, $37.625
10/22/2019, $38.17, 20373530, $37.82, $38.36, $37.6
10/21/2019, $38.23, 28041280, $38.42, $38.62, $38.19
10/18/2019, $38.47, 37673770, $37.81, $38.53, $37.79
10/17/2019, $37.81, 19153750, $37.86, $37.86, $37.61
10/16/2019, $37.79, 22152460, $37.82, $38, $37.695
10/15/2019, $37.9, 22957990, $37.45, $38.07, $37.42
10/14/2019, $37.47, 23651380, $37.58, $37.685, $37.31
10/11/2019, $37.58, 27814610, $37.59, $37.8, $37.47
10/10/2019, $37.42, 23887000, $37, $37.55, $36.97
10/09/2019, $37.05, 24736030, $37.21, $37.22, $36.885
10/08/2019, $37.48, 31034530, $37.68, $37.71, $37.38
10/07/2019, $37.66, 21245340, $37.58, $37.87, $37.52
10/04/2019, $37.51, 22598050, $37.22, $37.52, $37.13
10/03/2019, $37.19, 21001460, $37, $37.2, $36.66
10/02/2019, $37.08, 26612140, $37.35, $37.35, $36.92
10/01/2019, $37.41, 24334720, $37.95, $37.96, $37.37
09/30/2019, $37.84, 28436230, $37.59, $37.925, $37.53
09/27/2019, $37.43, 24227760, $37.61, $37.73, $37.18
09/26/2019, $37.38, 21829110, $37.4, $37.46, $37.18
09/25/2019, $37.38, 22369590, $37.33, $37.56, $37.24
09/24/2019, $37.38, 28103290, $37.79, $37.845, $37.34
09/23/2019, $37.6, 23711990, $37.62, $37.85, $37.48
09/20/2019, $37.91, 79104100, $37.3, $38.01, $37.18
09/19/2019, $37.15, 27257880, $37.03, $37.22, $36.8
09/18/2019, $36.76, 38600410, $36.76, $36.975, $36.49
09/17/2019, $37.16, 35295610, $37.04, $37.25, $36.79
09/16/2019, $37.31, 49189890, $37.7, $37.83, $37.1138
09/13/2019, $37.91, 39225390, $38.01, $38.345, $37.735
09/12/2019, $38.38, 42667020, $38.37, $38.48, $37.73
09/11/2019, $38.74, 55071430, $37.93, $38.75, $37.71
09/10/2019, $37.58, 48019600, $37.205, $37.72, $36.97
09/09/2019, $36.79, 117866000, $37.82, $38.14, $36.71
09/06/2019, $36.25, 29266060, $35.95, $36.37, $35.91
09/05/2019, $35.89, 21750090, $35.9, $35.98, $35.75
09/04/2019, $35.72, 20751050, $35.53, $35.82, $35.44
09/03/2019, $35.38, 20542300, $35.08, $35.39, $34.915
08/30/2019, $35.26, 21610190, $35.18, $35.35, $35.07
08/29/2019, $35.15, 23298620, $35.11, $35.33, $35.05
08/28/2019, $34.96, 24369040, $34.67, $34.98, $34.535
08/27/2019, $34.72, 32086660, $35.01, $35.04, $34.63
08/26/2019, $34.93, 23199370, $34.97, $35.14, $34.71
08/23/2019, $34.82, 33864030, $35.3, $35.44, $34.64
08/22/2019, $35.39, 21461220, $35.24, $35.5, $35.075
08/21/2019, $35.16, 21916200, $35.19, $35.25, $34.97
08/20/2019, $34.98, 21805800, $35.29, $35.3, $34.9
08/19/2019, $35.38, 26135680, $35.01, $35.435, $34.99
08/16/2019, $34.97, 31102990, $34.48, $35, $34.405
08/15/2019, $34.34, 24367610, $34.24, $34.4642, $33.9635
08/14/2019, $34.09, 34615310, $34.6, $34.63, $34.021
08/13/2019, $34.86, 31598980, $34.37, $34.96, $34.37
08/12/2019, $34.48, 23659190, $34.47, $34.575, $34.27
08/09/2019, $34.54, 22866770, $34.43, $34.59, $34.15
08/08/2019, $34.54, 28498500, $34.25, $34.54, $34.07
08/07/2019, $34.06, 37948550, $33.6, $34.16, $33.36
08/06/2019, $33.96, 31658720, $33.51, $33.97, $33.29
08/05/2019, $33.49, 37067640, $33.7, $33.94, $33.19
08/02/2019, $34.17, 36476290, $33.8, $34.34, $33.54
08/01/2019, $34.12, 41058880, $34.48, $34.6, $34.015
07/31/2019, $34.05, 40633780, $34.05, $34.48, $33.89
07/30/2019, $34.18, 33926820, $34.44, $34.64, $34.075
07/29/2019, $34.34, 30939050, $34.07, $34.445, $33.94
07/26/2019, $34.15, 34149300, $33.74, $34.23, $33.59
07/25/2019, $33.81, 39019230, $33.58, $33.99, $33.45
07/24/2019, $33.24, 48284730, $32.18, $33.39, $32.18
07/23/2019, $32.09, 45574410, $32.15, $32.16, $31.515
07/22/2019, $32.13, 35521080, $32.75, $32.75, $32.07
07/19/2019, $32.79, 32156760, $33.23, $33.27, $32.77
07/18/2019, $33.09, 32128780, $33.19, $33.2, $32.84
07/17/2019, $33.26, 18798180, $33.56, $33.58, $33.25
07/16/2019, $33.58, 17869350, $33.68, $33.72, $33.51
07/15/2019, $33.71, 20255060, $33.66, $33.7356, $33.57
07/12/2019, $33.65, 23251720, $33.53, $33.66, $33.385
07/11/2019, $33.46, 28863920, $33.99, $34.02, $33.26
07/10/2019, $33.76, 25352110, $33.74, $33.84, $33.62
07/09/2019, $33.54, 30976980, $33.59, $33.66, $33.4
07/08/2019, $34.25, 31848250, $34.13, $34.36, $34.07
07/05/2019, $34.3, 24506960, $33.98, $34.37, $33.94
07/03/2019, $33.98, 20136490, $33.96, $34.04, $33.865
07/02/2019, $33.84, 26635040, $33.47, $33.87, $33.37
07/01/2019, $33.43, 32421660, $33.81, $33.9, $33.4
06/28/2019, $33.51, 40771310, $33.04, $33.55, $32.92
06/27/2019, $32.98, 28184290, $32.76, $33.03, $32.56
06/26/2019, $32.53, 27960850, $32.59, $32.79, $32.52
06/25/2019, $32.55, 19229660, $32.6, $32.6, $32.45
06/24/2019, $32.58, 21745350, $32.49, $32.69, $32.46
06/21/2019, $32.45, 39218600, $32.69, $32.7, $32.42
06/20/2019, $32.54, 27066010, $32.58, $32.605, $32.31
06/19/2019, $32.41, 21209550, $32.54, $32.59, $32.3249
06/18/2019, $32.44, 20534070, $32.44, $32.7, $32.4
06/17/2019, $32.3, 16814240, $32.25, $32.39, $32.17
06/14/2019, $32.35, 19848540, $32.34, $32.44, $32.18
06/13/2019, $32.29, 16873430, $32.22, $32.33, $32.12
06/12/2019, $32.18, 19282920, $32.11, $32.31, $32.03
06/11/2019, $32.11, 19612610, $32.06, $32.44, $32.03
06/10/2019, $31.93, 30927320, $32.69, $33, $31.86
06/07/2019, $32.49, 31788440, $32.17, $32.7, $32.14
06/06/2019, $32.1, 24411660, $31.8, $32.175, $31.7
06/05/2019, $31.68, 20430780, $31.62, $31.71, $31.415
06/04/2019, $31.48, 31262250, $31.39, $31.5, $30.975
06/03/2019, $31.09, 36323620, $30.72, $31.35, $30.675
05/31/2019, $30.58, 49412580, $31.06, $31.16, $30.38
05/30/2019, $31.86, 24227600, $31.96, $32.07, $31.64
05/29/2019, $31.91, 26948870, $31.91, $32.21, $31.69
05/28/2019, $31.93, 24523050, $32.33, $32.4185, $31.91
05/24/2019, $32.27, 16156740, $32.32, $32.35, $32.1
05/23/2019, $32.14, 24665480, $32.18, $32.32, $31.93
05/22/2019, $32.28, 19988760, $32.24, $32.45, $32.115
05/21/2019, $32.41, 23313500, $32.24, $32.64, $32.09
05/20/2019, $32.19, 53455210, $32.28, $33.08, $31.96
05/17/2019, $31.8, 30889490, $31.41, $31.995, $31.38
05/16/2019, $31.62, 23634850, $31.3525, $31.875, $31.3525
05/15/2019, $31.25, 23931320, $31.04, $31.3, $30.89
05/14/2019, $31.09, 37525170, $30.7, $31.38, $30.62
05/13/2019, $30.47, 27713290, $30.35, $30.65, $30.34
05/10/2019, $30.62, 22013320, $30.25, $30.72, $30.16
05/09/2019, $30.38, 27078360, $30.27, $30.45, $30.125
05/08/2019, $30.3, 25015160, $30.39, $30.5, $30.17
05/07/2019, $30.53, 25771200, $30.52, $30.59, $30.28
05/06/2019, $30.59, 25182040, $30.46, $30.64, $30.38
05/03/2019, $30.7, 28225620, $30.66, $30.79, $30.57
05/02/2019, $30.62, 29711540, $30.96, $31.01, $30.59
05/01/2019, $30.79, 27046960, $31.05, $31.21, $30.78
04/30/2019, $30.96, 34987790, $30.94, $31.135, $30.76
04/29/2019, $30.88, 31708980, $30.91, $31.305, $30.82
04/26/2019, $30.68, 34368850, $30.47, $30.96, $30.28
04/25/2019, $30.34, 44006320, $30.635, $30.65, $30.05
04/24/2019, $30.79, 71882380, $31.07, $31.59, $30.52
04/23/2019, $32.1, 30454320, $32.06, $32.28, $31.88
04/22/2019, $32.08, 22235450, $32.02, $32.18, $31.9199
04/18/2019, $32.03, 23283280, $31.95, $32.1, $31.85
04/17/2019, $31.95, 21256020, $32.08, $32.2, $31.95
04/16/2019, $32.25, 21684880, $32.12, $32.25, $31.94
04/15/2019, $32.02, 19447310, $32.21, $32.25, $31.94
04/12/2019, $32.2, 26004810, $32.3, $32.32, $31.96
04/11/2019, $32.2, 24925430, $31.92, $32.25, $31.88
04/10/2019, $31.88, 20273770, $31.75, $32.04, $31.74
04/09/2019, $31.75, 26771390, $31.85, $31.89, $31.54
04/08/2019, $32.39, 37213470, $32.45, $32.515, $32.19
04/05/2019, $32.35, 39905920, $32.07, $32.36, $31.92
04/04/2019, $31.98, 28151460, $31.95, $32.13, $31.92
04/03/2019, $31.87, 28763210, $31.797, $31.96, $31.64
04/02/2019, $31.63, 31886040, $31.91, $31.95, $31.55
04/01/2019, $31.95, 36981850, $31.6, $31.99, $31.54
03/29/2019, $31.36, 31595230, $31.16, $31.385, $30.97
03/28/2019, $31.01, 26953470, $31.42, $31.5, $30.87
03/27/2019, $31.4, 25505150, $31.31, $31.64, $31.25
03/26/2019, $31.39, 24301910, $30.97, $31.42, $30.94
03/25/2019, $30.77, 25625040, $31.1, $31.15, $30.65
03/22/2019, $31.07, 33156680, $31, $31.34, $31
03/21/2019, $31.06, 26269310, $30.45, $31.15, $30.45
03/20/2019, $30.51, 24584400, $30.59, $30.76, $30.4
03/19/2019, $30.68, 27606410, $30.87, $31.05, $30.56
03/18/2019, $30.8, 22902760, $30.68, $30.84, $30.5866
03/15/2019, $30.67, 53352360, $30.51, $30.68, $30.3
03/14/2019, $30.28, 21331430, $30.28, $30.49, $30.21
03/13/2019, $30.28, 27523660, $30.65, $30.72, $30.21
03/12/2019, $30.63, 32471680, $30.25, $30.895, $30.22
03/11/2019, $30.22, 26013020, $29.98, $30.31, $29.945
03/08/2019, $29.96, 22499390, $29.85, $30.06, $29.74
03/07/2019, $29.92, 24817730, $29.86, $30.07, $29.8
03/06/2019, $29.81, 24415850, $30, $30.135, $29.765
03/05/2019, $29.95, 25894940, $30.02, $30.05, $29.8
03/04/2019, $29.98, 49257260, $30.95, $30.95, $29.67
03/01/2019, $30.82, 30419580, $31.2, $31.24, $30.64
02/28/2019, $31.12, 27702340, $31.06, $31.27, $30.97
02/27/2019, $31.06, 26339060, $31.23, $31.27, $30.78
02/26/2019, $31.22, 29653470, $31.14, $31.43, $30.96
02/25/2019, $31.13, 22411860, $31.25, $31.29, $31.02
02/22/2019, $31.15, 23345330, $30.95, $31.19, $30.82
02/21/2019, $30.83, 26281120, $30.86, $31.06, $30.63
02/20/2019, $30.85, 23670680, $30.64, $30.9429, $30.46
02/19/2019, $30.63, 24616520, $30.46, $30.68, $30.31
02/15/2019, $30.47, 37151660, $30.03, $30.52, $29.93
02/14/2019, $29.79, 25842620, $29.7, $30.01, $29.55
02/13/2019, $29.84, 30033420, $29.81, $29.88, $29.5
02/12/2019, $29.81, 29979500, $29.85, $30.03, $29.7346
02/11/2019, $29.71, 29011150, $29.58, $29.84, $29.46
02/08/2019, $29.55, 24194900, $29.4, $29.56, $29.1
02/07/2019, $29.45, 37878130, $29.54, $29.56, $28.92
02/06/2019, $29.56, 22443110, $29.7, $29.79, $29.52
02/05/2019, $29.63, 29020870, $29.67, $29.71, $29.4647
02/04/2019, $29.61, 38940020, $30.03, $30.03, $29.56
02/01/2019, $30, 40874290, $30.21, $30.36, $29.9
01/31/2019, $30.06, 50716730, $29.5, $30.09, $29.145
01/30/2019, $29.37, 92907680, $29.96, $30.4, $29.01
01/29/2019, $30.7, 31320730, $30.62, $30.7, $30.45
01/28/2019, $30.67, 31023150, $30.62, $30.68, $30.43
01/25/2019, $30.66, 30478140, $30.68, $31.035, $30.64
01/24/2019, $30.6, 24385670, $30.78, $30.78, $30.27
01/23/2019, $30.89, 27846850, $30.72, $30.9, $30.59
01/22/2019, $30.58, 37653980, $30.92, $30.99, $30.42
01/18/2019, $30.96, 43199780, $30.82, $31.03, $30.52
01/17/2019, $30.64, 26264440, $30.55, $30.745, $30.405
01/16/2019, $30.56, 24398070, $30.53, $30.75, $30.35
01/15/2019, $30.6, 26601970, $30.52, $30.6, $30.23
01/14/2019, $30.62, 22868440, $30.7, $30.78, $30.39
01/11/2019, $30.87, 28917280, $30.4, $30.95, $30.31
01/10/2019, $30.4, 31995400, $30.05, $30.48, $29.82
01/09/2019, $30.1, 44281950, $30.88, $30.88, $29.97
01/08/2019, $31.28, 43542010, $31.31, $31.38, $31.03
01/07/2019, $30.89, 40235960, $30.73, $31.27, $30.42
01/04/2019, $30.34, 42045270, $29.96, $30.38, $29.885
01/03/2019, $29.58, 38318190, $29.52, $29.8065, $29.21
01/02/2019, $29.54, 39156700, $28.5, $29.59, $28.3
12/31/2018, $28.54, 46145770, $28.57, $28.64, $28.09
12/28/2018, $28.46, 47551440, $28.19, $28.8, $28.17
12/27/2018, $28.15, 54472190, $27.81, $28.16, $27.17
12/26/2018, $28.08, 57312080, $27.5, $28.1, $26.8
12/24/2018, $27.36, 41110050, $28.21, $28.29, $27.36
12/21/2018, $28.31, 79245500, $28.34, $29.24, $28.14
12/20/2018, $28.65, 76531800, $29.84, $29.86, $28.19
12/19/2018, $29.82, 51402090, $29.92, $30.3, $29.6137
12/18/2018, $29.75, 41917530, $29.63, $30.02, $29.6
12/17/2018, $29.86, 42144270, $30.13, $30.24, $29.6
12/14/2018, $30.22, 41617010, $29.83, $30.4, $29.7
12/13/2018, $29.91, 45950780, $30.09, $30.19, $29.55
12/12/2018, $30.16, 40880430, $30.11, $30.29, $29.925
12/11/2018, $29.7, 44363070, $30.44, $30.67, $29.585
12/10/2018, $29.91, 41001380, $30.08, $30.09, $29.17
12/07/2018, $30.14, 34446060, $30.22, $30.88, $30.01
12/06/2018, $30.53, 50009080, $30.48, $30.56, $29.85
12/04/2018, $30.73, 44761940, $31.73, $32.01, $30.67
12/03/2018, $31.71, 43524530, $31.74, $31.9, $31.31
11/30/2018, $31.24, 80460330, $30.71, $31.43, $30.68
11/29/2018, $30.57, 30640050, $30.37, $30.71, $30.2
11/28/2018, $30.74, 32857930, $30.44, $30.87, $30.35
11/27/2018, $30.44, 32149040, $29.84, $30.49, $29.72
11/26/2018, $29.95, 33335760, $29.65, $30.15, $29.64
11/23/2018, $29.36, 13401040, $29.76, $29.76, $29.35
11/21/2018, $29.77, 30303120, $29.5, $30.025, $29.41
11/20/2018, $29.42, 41386970, $29.97, $30.18, $29.4
11/19/2018, $30.35, 27769390, $30.34, $30.695, $30.21
11/16/2018, $30.29, 28593290, $30.07, $30.42, $29.95
11/15/2018, $30.12, 38505970, $30.35, $30.37, $29.9
11/14/2018, $30.51, 31224830, $30.55, $30.715, $30.11
11/13/2018, $30.33, 25210780, $30.85, $30.9, $30.28
11/12/2018, $30.78, 25019880, $30.7, $31.23, $30.65
11/09/2018, $30.69, 39991630, $30.98, $31.08, $30.44
11/08/2018, $31.04, 29506690, $31.08, $31.16, $30.88
11/07/2018, $31.1, 30818620, $30.99, $31.13, $30.69
11/06/2018, $30.96, 24303810, $30.64, $30.97, $30.51
11/05/2018, $30.63, 26541190, $30.63, $30.86, $30.57
11/02/2018, $30.52, 32971570, $30.63, $30.91, $30.35
11/01/2018, $30.49, 35226470, $30.99, $31.05, $30.38
10/31/2018, $30.68, 44808230, $30.69, $30.98, $30.12
10/30/2018, $30.47, 49056750, $29.85, $30.59, $29.82
10/29/2018, $29.64, 48435420, $29.59, $30.32, $29.29
10/26/2018, $29.09, 77623070, $29.89, $29.93, $28.85
10/25/2018, $29.98, 76731610, $30.65, $30.71, $29.76
10/24/2018, $30.36, 118749700, $31.73, $31.8, $30.26
10/23/2018, $33.02, 53401040, $32.7, $33.28, $32.05
10/22/2018, $32.67, 23086140, $32.91, $32.96, $32.59
10/19/2018, $32.87, 34763550, $32.45, $32.95, $32.31
10/18/2018, $32.5, 30340820, $32.57, $32.85, $32.24
10/17/2018, $32.57, 28344690, $32.41, $32.72, $32.28
10/16/2018, $32.39, 26482600, $32.37, $32.465, $32.15
10/15/2018, $32.36, 33160930, $32.27, $32.67, $32.21
10/12/2018, $32.25, 42852810, $32.19, $32.36, $31.85
10/11/2018, $31.75, 63539290, $32.83, $33.06, $31.66
10/10/2018, $32.85, 45493240, $33.63, $33.99, $32.84
10/09/2018, $33.5, 27848960, $33.69, $33.7, $33.5
10/08/2018, $34.11, 27827930, $34.01, $34.18, $33.78
10/05/2018, $33.99, 28664690, $34.19, $34.3, $33.8622
10/04/2018, $34.12, 27506170, $33.83, $34.14, $33.535
10/03/2018, $33.92, 26695960, $34.08, $34.12, $33.77
10/02/2018, $33.92, 29994190, $33.53, $33.93, $33.475
10/01/2018, $33.49, 22437670, $33.66, $33.75, $33.39
09/28/2018, $33.58, 22041620, $33.41, $33.68, $33.3101
09/27/2018, $33.42, 24827550, $33.431, $33.77, $33.27
09/26/2018, $33.35, 32627480, $33.83, $33.91, $33.34
09/25/2018, $33.76, 30354620, $33.78, $34.19, $33.69
09/24/2018, $33.91, 35523400, $34.25, $34.28, $33.75
09/21/2018, $33.78, 130145000, $34.05, $34.24, $33.78
09/20/2018, $33.44, 24765170, $33.49, $33.53, $33.15
09/19/2018, $33.37, 30990210, $33.93, $33.96, $33.25
09/18/2018, $33.72, 33650990, $33.56, $33.92, $33.3824
09/17/2018, $33.62, 25302040, $33.6, $33.81, $33.4302
09/14/2018, $33.6, 32722990, $33.61, $33.65, $33.3
09/13/2018, $33.68, 34480190, $33.44, $33.69, $33.085
09/12/2018, $33.42, 49448450, $32.84, $33.65, $32.84
09/11/2018, $32.67, 26309980, $32.48, $32.8, $32.47
09/10/2018, $32.39, 26264430, $32.28, $32.69, $32.2
09/07/2018, $32.12, 25746530, $32.16, $32.39, $32.09
09/06/2018, $32.18, 25642680, $32.13, $32.31, $32
09/05/2018, $32.02, 26698180, $31.75, $32.05, $31.54
09/04/2018, $31.86, 25152300, $31.78, $31.94, $31.48
08/31/2018, $31.94, 31238500, $31.95, $31.99, $31.72
08/30/2018, $31.96, 25546310, $32.2, $32.32, $31.87
08/29/2018, $32.23, 25154620, $32.66, $32.7, $32.21
08/28/2018, $32.67, 16461510, $32.81, $32.83, $32.63
08/27/2018, $32.83, 17589230, $32.74, $33.03, $32.72
08/24/2018, $32.64, 16224140, $32.46, $32.74, $32.46
08/23/2018, $32.49, 21443960, $32.69, $32.79, $32.41
08/22/2018, $32.68, 34136650, $33.2, $33.2, $32.66
08/21/2018, $33.4, 27542210, $33.33, $33.58, $33.31
08/20/2018, $33.11, 23486750, $33.14, $33.25, $33.01
08/17/2018, $33.03, 26117150, $33.06, $33.26, $32.96
08/16/2018, $33.09, 37376870, $32.53, $33.14, $32.53
08/15/2018, $32.47, 29624580, $32.28, $32.55, $32.13
08/14/2018, $32.24, 18002280, $32.24, $32.38, $32.21
08/13/2018, $32.21, 22766150, $32.26, $32.34, $32.18
08/10/2018, $32.26, 21470700, $32.39, $32.405, $32.16
08/09/2018, $32.49, 16907060, $32.4, $32.5, $32.245
08/08/2018, $32.36, 21947940, $32.48, $32.53, $32.3
08/07/2018, $32.4, 27329200, $32.09, $32.44, $31.97
08/06/2018, $32.11, 30060840, $32.21, $32.32, $32
08/03/2018, $32.27, 26561240, $31.9, $32.28, $31.76
08/02/2018, $31.85, 31192830, $31.85, $32.1, $31.765
08/01/2018, $31.9, 31350040, $32.2, $32.27, $31.805
07/31/2018, $31.97, 47508270, $32.14, $32.34, $31.94
07/30/2018, $32, 64007780, $31.56, $32.13, $31.45
