Date, Close/Last, Volume, Open, High, Low
12/31/2019, $180.79, 1588754, $179.96, $181.26, $179.54
12/30/2019, $180.15, 1493040, $181.15, $181.38, $179.6
12/27/2019, $181.41, 1363023, $181, $181.59, $180.66
12/26/2019, $180.81, 1171702, $180.36, $180.92, $179.5
12/24/2019, $179.89, 666016, $179.76, $180.475, $179.358
12/23/2019, $179.42, 1888071, $180.4, $180.68, $179
12/20/2019, $180.4, 6140374, $178.81, $180.56, $176.72
12/19/2019, $177.47, 2479216, $177.85, $179.2025, $177.03
12/18/2019, $178.22, 3786044, $177.75, $179.3, $176.54
12/17/2019, $177.39, 3516788, $179.74, $180.6568, $177.07
12/16/2019, $180.09, 3625750, $178.29, $180.84, $178.02
12/13/2019, $177.03, 2842405, $175.83, $177.53, $174.16
12/12/2019, $175.22, 3378740, $174.09, $176.32, $173.17
12/11/2019, $174.45, 2015840, $172.78, $174.68, $172.01
12/10/2019, $171.85, 1811612, $170.83, $172.5, $170.13
12/09/2019, $171.36, 2087118, $171.29, $172.58, $170.52
12/06/2019, $172, 2123929, $172.31, $174.125, $171.785
12/05/2019, $170.49, 2647600, $171.61, $171.89, $169.36
12/04/2019, $171.46, 3623012, $169.17, $172.89, $168.95
12/03/2019, $168, 4273096, $170.9, $171.07, $167.15
12/02/2019, $173, 2099671, $175.86, $176.57, $172.79
11/29/2019, $175.99, 975642, $176.55, $176.99, $175.44
11/27/2019, $177.19, 2114135, $177.48, $177.8, $175.93
11/26/2019, $178.09, 2947850, $179.26, $179.95, $178.06
11/25/2019, $179.9, 2655969, $176.18, $179.99, $175.67
11/22/2019, $175.94, 1934984, $174.68, $175.99, $173.8
11/21/2019, $174.17, 1704353, $173.84, $174.83, $172.3
11/20/2019, $174.09, 2915101, $176.66, $177.705, $173.78
11/19/2019, $177.17, 3593968, $176.07, $177.29, $175.435
11/18/2019, $176.25, 2930130, $175.82, $176.47, $174.5714
11/15/2019, $176.27, 2160266, $175.18, $177.1, $174.77
11/14/2019, $174.77, 2151997, $175.54, $176.2, $174.09
11/13/2019, $175.54, 2281782, $174.31, $176.4, $173.66
11/12/2019, $175.47, 1775461, $176.39, $176.83, $174.91
11/11/2019, $176.8, 1252110, $174.91, $177.11, $174.4349
11/08/2019, $176.1, 1441810, $176.41, $176.67, $175.15
11/07/2019, $177.01, 2628128, $177.68, $180, $176.67
11/06/2019, $176.34, 2855925, $177.69, $177.99, $175.28
11/05/2019, $177.77, 5011395, $176.63, $179.48, $176.45
11/04/2019, $176.63, 3683176, $173.25, $176.7, $173.13
11/01/2019, $172.53, 3548341, $167.2, $172.55, $166.69
10/31/2019, $165.46, 3909500, $167.35, $167.95, $163.625
10/30/2019, $167.95, 2891616, $169.22, $169.648, $166.36
10/29/2019, $170.19, 2112284, $169.72, $170.57, $169.1035
10/28/2019, $170.75, 2185210, $172.87, $173.06, $170.57
10/25/2019, $172.33, 1868354, $170.39, $172.68, $169.4
10/24/2019, $170.39, 2096628, $170.86, $171.95, $169.78
10/23/2019, $170.03, 3324291, $169.94, $171, $168.375
10/22/2019, $170.77, 4167605, $167.03, $170.94, $165.74
10/21/2019, $167.07, 3172472, $162.2, $167.4, $161.75
10/18/2019, $161.5, 5176687, $163.18, $163.93, $159.86
10/17/2019, $163.68, 6321197, $162.11, $166.11, $159.61
10/16/2019, $163.31, 3808233, $162.94, $164.91, $162.5
10/15/2019, $163.14, 3846960, $160.41, $163.66, $159.5
10/14/2019, $159.55, 2351239, $160.52, $160.7389, $158.86
10/11/2019, $161.39, 4858016, $157.9, $162.24, $157.4
10/10/2019, $155.77, 3591660, $152.88, $155.95, $152.56
10/09/2019, $153.23, 3948881, $152.94, $154.55, $152.48
10/08/2019, $151.47, 4320455, $154.35, $154.805, $151.28
10/07/2019, $155.91, 3285330, $155.45, $156.9055, $154.87
10/04/2019, $156.32, 3544455, $154, $156.41, $153.44
10/03/2019, $153.67, 3366117, $152.45, $153.75, $149.09
10/02/2019, $152.02, 5447479, $154.5, $154.71, $150.34
10/01/2019, $155.95, 6045097, $162.87, $163.185, $155.51
09/30/2019, $161.98, 3399297, $164.02, $164.91, $161.86
09/27/2019, $162.69, 3212576, $164.33, $164.81, $161.86
09/26/2019, $163.73, 4227965, $163.86, $165.59, $163.6
09/25/2019, $163.6, 4860746, $165.29, $165.66, $163.55
09/24/2019, $165.08, 3767865, $167.09, $169.35, $164.09
09/23/2019, $166.05, 2287679, $166, $167.19, $165.34
09/20/2019, $166.38, 3638196, $168.22, $168.5706, $165.61
09/19/2019, $167.11, 2470414, $167.87, $168.09, $166.5
09/18/2019, $167.87, 1613530, $166.17, $168.07, $165.0584
09/17/2019, $166.9, 3144721, $168.89, $169.68, $166.34
09/16/2019, $168.95, 2652477, $168.81, $170.89, $167
09/13/2019, $171.45, 3159977, $169.33, $172.21, $169.02
09/12/2019, $167.71, 2357484, $167.71, $168.58, $166.15
09/11/2019, $167.3, 2617925, $167.85, $167.99, $165.72
09/10/2019, $167.57, 3006673, $165.35, $167.73, $164.85
09/09/2019, $166.12, 3297628, $165.12, $166.46, $164.01
09/06/2019, $164.6, 2055672, $166.41, $167.2099, $164.14
09/05/2019, $166.13, 3802856, $162.45, $166.66, $162.1
09/04/2019, $160.08, 3890373, $160.24, $160.9, $158.62
09/03/2019, $159.33, 2682414, $161.05, $162.1, $158.7
08/30/2019, $161.96, 2987240, $162.41, $164.08, $161.46
08/29/2019, $161.73, 4395025, $159.44, $162.78, $158.21
08/28/2019, $158.4, 5841067, $157.47, $159.725, $156.61
08/27/2019, $157.47, 3994922, $160.71, $160.71, $157.28
08/26/2019, $159.11, 3299368, $161.46, $162.42, $158.29
08/23/2019, $159.98, 3590019, $165.11, $165.46, $159.05
08/22/2019, $166.07, 4017740, $169.08, $170.09, $165.95
08/21/2019, $168.53, 1724094, $168.51, $169.53, $167.785
08/20/2019, $167.56, 2362047, $168.7, $168.82, $167.46
08/19/2019, $168.76, 2630058, $168.95, $170.28, $168.26
08/16/2019, $166.25, 2171455, $164.11, $166.89, $163.45
08/15/2019, $162.45, 2873603, $163.64, $163.96, $160.64
08/14/2019, $163.7, 3113777, $166.04, $166.84, $163.06
08/13/2019, $168.78, 2281014, $165.14, $169.65, $164.27
08/12/2019, $165.67, 2861774, $167.2, $168.71, $165.34
08/09/2019, $168.01, 2325919, $168.6, $169.67, $165.96
08/08/2019, $169.7, 2395575, $168.15, $170.61, $167.17
08/07/2019, $166.92, 2152486, $166.42, $167.24, $163.8
08/06/2019, $168.33, 2055303, $168.12, $169.45, $166.37
08/05/2019, $166.84, 4051403, $170.68, $171.41, $165.51
08/02/2019, $173.52, 2329851, $174.08, $174.81, $172.1
08/01/2019, $175.01, 4428009, $177.35, $180.54, $174.57
07/31/2019, $179.95, 4508414, $178.15, $180.3, $177.3
07/30/2019, $179.3, 2824972, $176.84, $179.48, $176.55
07/29/2019, $177.5, 3386123, $174.12, $177.74, $173.98
07/26/2019, $174.23, 1627793, $174.57, $175.72, $173.35
07/25/2019, $173.21, 1943384, $174.06, $175.105, $172.86
07/24/2019, $174.37, 3149018, $171.77, $175.31, $171.14
07/23/2019, $173.22, 2599028, $174.1, $174.255, $171.45
07/22/2019, $173.58, 3757070, $175.29, $176.14, $172.39
07/19/2019, $175.3, 4732560, $174.4, $177.59, $174.05
07/18/2019, $174.25, 7477178, $173.86, $174.9, $170.5
07/17/2019, $164.55, 10726080, $171, $171.51, $163.8
07/16/2019, $175.15, 2958291, $173.42, $176.72, $173.01
07/15/2019, $172.69, 1994445, $173.56, $173.97, $172.43
07/12/2019, $174.05, 2036418, $172.38, $174.35, $172.12
07/11/2019, $171.75, 2341013, $169.8, $172.25, $169.12
07/10/2019, $169.57, 1703058, $170.99, $171.04, $168.89
07/09/2019, $169.6, 2057498, $168.92, $170, $168.55
07/08/2019, $169.59, 2200703, $169.3, $170.07, $168.63
07/05/2019, $170.03, 2605475, $171.28, $171.39, $166.93
07/03/2019, $171.8, 1172288, $171.27, $172.005, $170.53
