Date, Close/Last, Volume, Open, High, Low
12/31/2019, $149.76, 2030875, $149.79, $150.21, $149.1
12/30/2019, $149.88, 1683294, $150.44, $150.8, $149.58
12/27/2019, $150.28, 1842706, $151, $151.07, $150.05
12/26/2019, $150.71, 1404252, $149.95, $150.76, $149.75
12/24/2019, $149.57, 1004890, $150.07, $150.32, $149.44
12/23/2019, $149.82, 2745246, $149.96, $150.5511, $149.56
12/20/2019, $149.49, 4564320, $150.9, $150.9, $149.1998
12/19/2019, $148.71, 2992634, $148.31, $149.16, $147.2
12/18/2019, $147.71, 3799223, $148.1, $148.61, $147.19
12/17/2019, $148.62, 3624416, $149.2, $149.38, $147.95
12/16/2019, $149.46, 3249080, $149.73, $150.67, $149.11
12/13/2019, $149.07, 2368120, $148.27, $150.15, $148.27
12/12/2019, $149.41, 2723377, $147.9, $149.64, $147.18
12/11/2019, $147.27, 2267919, $146.58, $147.37, $145.99
12/10/2019, $145.37, 2673228, $145.77, $146, $145.35
12/09/2019, $146.22, 1598566, $146.9, $147.35, $146.145
12/06/2019, $146.99, 2607874, $147.14, $147.39, $146.21
12/05/2019, $145.26, 2341629, $145.49, $145.57, $144.41
12/04/2019, $144.52, 3039131, $144.94, $145.87, $144.3
12/03/2019, $143.73, 3872753, $143.93, $144.2, $142.78
12/02/2019, $144.99, 3855054, $148.39, $148.6114, $144.88
11/29/2019, $148.34, 991512, $148.53, $148.606, $147.5
11/27/2019, $148.82, 1512412, $148.38, $149.05, $147.6884
11/26/2019, $148.12, 3601420, $147.7, $148.62, $147.4
11/25/2019, $147.52, 2403074, $148.56, $148.74, $147.2
11/22/2019, $147.7, 2381050, $148.25, $148.53, $147.18
11/21/2019, $147.3, 2348099, $146.64, $147.95, $146.3
11/20/2019, $146.65, 2645950, $148.01, $148.58, $146.09
11/19/2019, $148.37, 2830591, $149.62, $149.65, $148.35
11/18/2019, $149.11, 1855838, $149.11, $149.276, $148.44
11/15/2019, $149.36, 1989150, $148.28, $149.81, $148.25
11/14/2019, $148.11, 1735412, $147.45, $148.44, $147.45
11/13/2019, $148.31, 1849446, $147.88, $148.51, $147.43
11/12/2019, $148.39, 1612552, $148.4, $149.04, $148
11/11/2019, $148.22, 1473376, $148, $148.615, $147.5273
11/08/2019, $148.88, 1700212, $147.47, $149.02, $147.3301
11/07/2019, $148.73, 2773529, $148.82, $149.35, $148.45
11/06/2019, $148.31, 3156646, $147.82, $148.38, $147.13
11/05/2019, $147.85, 4061347, $147.66, $148.565, $146.7
11/04/2019, $147.51, 4332539, $147.49, $147.99, $146.4
11/01/2019, $146.68, 4055622, $144.39, $146.79, $144.3366
10/31/2019, $143.58, 3053893, $143.44, $143.84, $142.67
10/30/2019, $143.84, 2542560, $142.25, $144.27, $142
10/29/2019, $142, 3554126, $142.45, $143.51, $141.73
10/28/2019, $143.04, 2374460, $143.27, $144.625, $142.3101
10/25/2019, $142.96, 3193441, $143.35, $144.2, $142.81
10/24/2019, $143.44, 4567256, $140.5, $143.84, $140.03
10/23/2019, $139.91, 3355683, $140.83, $141.44, $139.21
10/22/2019, $141.41, 6664419, $140.82, $142.24, $138.93
10/21/2019, $138.35, 3766976, $138.17, $139, $137.74
10/18/2019, $136.8, 3407761, $138.23, $138.44, $136.51
10/17/2019, $138.17, 2668249, $137.3, $138.74, $137.17
10/16/2019, $136.71, 2104438, $135.94, $137.22, $135.67
10/15/2019, $136.15, 2495696, $136.27, $137.72, $136.14
10/14/2019, $135.92, 1691281, $136, $136.45, $135.33
10/11/2019, $136.15, 3052478, $135.07, $137.19, $135
10/10/2019, $133.92, 2409062, $131.9, $134.06, $131.3
10/09/2019, $131.96, 2441596, $131.7, $132.64, $131.12
10/08/2019, $130.79, 2649116, $131.33, $132.39, $130.34
10/07/2019, $132.69, 1706372, $132.79, $133.96, $132.13
10/04/2019, $133.21, 1909175, $131.29, $133.31, $130.95
10/03/2019, $131.21, 2983293, $130.76, $131.33, $128.63
10/02/2019, $130.47, 3279914, $132.83, $133, $129.82
10/01/2019, $133.79, 3505301, $136.94, $137.69, $133.2067
09/30/2019, $136.52, 2650584, $137.15, $137.19, $136.17
09/27/2019, $136.39, 2138055, $138.03, $138.24, $136.19
09/26/2019, $137.53, 2710086, $136.76, $138.29, $136.51
09/25/2019, $136.83, 2132819, $135.94, $137.15, $135.14
09/24/2019, $135.48, 2853968, $136.04, $136.2, $134.66
09/23/2019, $135.67, 2647630, $134.41, $136.13, $134.1012
09/20/2019, $135.57, 5337187, $137.6, $138.46, $135.56
09/19/2019, $137.53, 2194948, $137.94, $138.02, $136.81
09/18/2019, $137.66, 1761575, $136.92, $137.79, $135.9547
09/17/2019, $137.21, 2129401, $137.39, $137.74, $136.63
09/16/2019, $138.08, 2112032, $139.02, $139.02, $137.324
09/13/2019, $138.06, 3025493, $138, $139.4, $137.455
09/12/2019, $137.46, 3024465, $136.46, $137.99, $136.2
09/11/2019, $135.95, 2867853, $133.5, $136, $133.08
09/10/2019, $133.91, 2864921, $134.1, $134.72, $132.83
09/09/2019, $134.11, 2313284, $134.65, $135.4, $133.85
09/06/2019, $133.69, 2124292, $133.81, $134.25, $133.1485
09/05/2019, $133.03, 2662909, $133.08, $133.7, $132.5
09/04/2019, $131.05, 2257395, $130.69, $131.73, $130.28
09/03/2019, $128.97, 2535216, $128.67, $129.18, $127.64
08/30/2019, $130.24, 2330105, $130.24, $131.2, $130.18
08/29/2019, $129.51, 4575894, $128.01, $130.27, $128.01
08/28/2019, $126.87, 2052573, $124.35, $126.96, $123.81
08/27/2019, $124.57, 2177318, $125.44, $126, $123.98
08/26/2019, $125.49, 2093159, $124.98, $125.67, $123.64
08/23/2019, $123.42, 3482050, $126.68, $127.795, $122.82
08/22/2019, $127.96, 1631960, $128, $128.4, $126.32
08/21/2019, $127.33, 1719559, $127.9, $128.22, $126.79
08/20/2019, $126.68, 1989574, $125.98, $127.27, $125.41
08/19/2019, $126.64, 1823076, $126.73, $127.31, $125.99
08/16/2019, $125.05, 2532025, $124.99, $125.68, $124.02
08/15/2019, $123.74, 3961983, $124, $124.42, $122.44
08/14/2019, $124.3, 3359304, $127.1, $127.26, $123.77
08/13/2019, $128.95, 2403343, $127.86, $130.71, $127.7001
08/12/2019, $128.02, 2602344, $129.85, $130.23, $127.53
08/09/2019, $131.24, 2370928, $131.4, $132.021, $129.53
08/08/2019, $131.48, 2676560, $129.58, $131.69, $129.58
08/07/2019, $129.01, 4301652, $127.12, $130.12, $125.1427
08/06/2019, $128.8, 3802862, $125.5, $129.06, $125.5
08/05/2019, $125.75, 3979074, $128.84, $128.93, $124.73
08/02/2019, $130.81, 2167188, $131.43, $131.87, $129.41
08/01/2019, $131.84, 2916027, $133.31, $135.51, $131.66
07/31/2019, $133.6, 3366092, $135.25, $136.03, $133
07/30/2019, $135.3, 2257790, $135.38, $135.715, $134.44
07/29/2019, $135.72, 2051351, $135.56, $136.37, $135.38
07/26/2019, $135.63, 2216070, $135.81, $136.68, $135.29
07/25/2019, $136.36, 3989735, $134.92, $138.31, $134.895
07/24/2019, $134.25, 3577201, $134.38, $136.865, $133.97
07/23/2019, $134.94, 8090056, $136.32, $136.5, $132.01
07/22/2019, $132.95, 3398925, $132.29, $133.19, $131.55
07/19/2019, $132.39, 3234070, $131.64, $132.88, $130.93
07/18/2019, $131.3, 2918912, $129.88, $131.35, $129.7616
07/17/2019, $130.1, 2736132, $133.06, $133.25, $130.07
07/16/2019, $133.19, 3200202, $133.35, $133.68, $132.71
07/15/2019, $133.23, 2378726, $133.26, $133.83, $132.88
07/12/2019, $133.72, 3202359, $131.91, $133.81, $131.71
07/11/2019, $131.34, 2438438, $130.44, $131.79, $130.07
07/10/2019, $130.45, 2339444, $131, $132.26, $130.19
07/09/2019, $130.39, 3023200, $130.1, $130.53, $128.94
07/08/2019, $130.87, 3202367, $131.88, $132.07, $130.2801
07/05/2019, $132.54, 3546915, $132.75, $132.75, $130.845
07/03/2019, $133, 2037573, $132.45, $133.07, $131.71
07/02/2019, $131.96, 3395076, $131.64, $132.3, $131.24
07/01/2019, $131.34, 3926596, $131.18, $132.08, $130.8363
06/28/2019, $130.2, 5435813, $129.06, $130.5924, $128.15
06/27/2019, $128.97, 2013536, $128.21, $129.19, $127.76
06/26/2019, $127.76, 2922546, $129.04, $129.645, $127.72
06/25/2019, $129.02, 2794260, $130.19, $130.86, $128.7
06/24/2019, $130.18, 3677209, $130.12, $130.99, $129.5
06/21/2019, $128.75, 5719112, $129.81, $130.86, $128.58
06/20/2019, $130.03, 4346711, $128.3, $130.22, $127.87
06/19/2019, $126.76, 3255060, $127.1, $127.39, $126.32
06/18/2019, $126.62, 4536270, $125.06, $126.98, $125.06
06/17/2019, $124.23, 3346620, $125.72, $125.965, $123.105
06/14/2019, $125.3, 3066816, $126.11, $126.5, $124.92
06/13/2019, $124.81, 4604796, $124.74, $124.965, $122.92
06/12/2019, $124.07, 9975433, $124.05, $125.41, $123.61
06/11/2019, $122.94, 10972310, $128.22, $128.29, $122.1791
06/10/2019, $128.01, 13783320, $135.5, $135.73, $127.98
06/07/2019, $132.15, 1844404, $132.11, $132.97, $131.84
06/06/2019, $131.67, 2012014, $131.46, $132.17, $130.48
06/05/2019, $131.36, 2372997, $130.49, $131.4, $129.55
06/04/2019, $129.37, 2395174, $128.31, $129.69, $127.52
06/03/2019, $126.86, 2710993, $126.45, $128.21, $125.9401
05/31/2019, $126.3, 3553857, $127.27, $127.41, $125.53
05/30/2019, $128.4, 2748603, $129.54, $130.33, $128.025
05/29/2019, $129.47, 2797120, $129.19, $129.79, $128.31
05/28/2019, $129.92, 4040204, $131.63, $133.08, $129.88
05/24/2019, $131.4, 3116979, $130.64, $131.88, $130.01
05/23/2019, $130.45, 5653665, $132.52, $133.82, $129.39
05/22/2019, $135.41, 1942732, $135.36, $136.32, $134.94
05/21/2019, $136.03, 2190806, $134.9, $136.17, $134.265
05/20/2019, $133.48, 1945580, $133.17, $133.76, $132.63
05/17/2019, $133.75, 1605559, $134.13, $135.4617, $133.55
05/16/2019, $135.25, 2809322, $134.04, $136.0714, $133.44
05/15/2019, $133.98, 2430157, $132.8, $134.82, $131.66
05/14/2019, $133.98, 2709294, $132.01, $135.01, $132.01
05/13/2019, $131.96, 4119212, $134.03, $134.67, $130.39
05/10/2019, $137.17, 2652508, $135.23, $137.34, $133.57
05/09/2019, $136.86, 2559253, $135.46, $137.1275, $134.02
05/08/2019, $137.07, 2396297, $135.5, $138.15, $135.34
05/07/2019, $135.44, 4905295, $138.34, $138.67, $134.68
05/06/2019, $140.2, 2376408, $138.79, $140.67, $137.9
05/03/2019, $141.63, 2840359, $141.053, $141.69, $139.96
05/02/2019, $139.8, 2756425, $140.77, $141.46, $138.79
05/01/2019, $141.58, 2194964, $143, $144.4, $141.52
04/30/2019, $142.61, 3293066, $142.44, $142.92, $141.63
04/29/2019, $142.12, 3408146, $141, $142.51, $140.8629
04/26/2019, $140.78, 2059801, $140, $140.83, $139.58
04/25/2019, $139.73, 2336326, $138.74, $140.25, $138.03
04/24/2019, $139.59, 2733565, $139.67, $140.17, $137.93
04/23/2019, $140.02, 5677032, $139.89, $142.36, $138.88
04/22/2019, $136.91, 2952352, $136.35, $137.4668, $135.69
04/18/2019, $137, 2498469, $136.01, $137.75, $136.01
04/17/2019, $135.79, 2784978, $135.59, $136.3, $134.73
04/16/2019, $135.34, 1999026, $134.86, $135.36, $134.41
04/15/2019, $134.55, 1874932, $135, $135.26, $134.07
04/12/2019, $135.3, 2865520, $133.82, $135.32, $133.65
04/11/2019, $132.82, 1741910, $131.77, $133, $131.48
04/10/2019, $131.66, 2682137, $132.29, $132.33, $130.26
04/09/2019, $132.25, 2083344, $132.65, $132.91, $131.2
04/08/2019, $133.56, 2717699, $132.33, $133.63, $131.19
04/05/2019, $133.72, 2499404, $133.16, $133.8, $132.56
04/04/2019, $132.7, 2194631, $131.5, $133.27, $130.85
04/03/2019, $131.31, 2839922, $132.61, $132.7224, $130.61
